keys,de,en,es,fr,it,pl,ru,uk
Follow me,Folgen Sie mir,Follow me,Sígueme,Suivez-moi,Seguimi,Chodź za mną,Следуй за мной,Слідуй за мною
Stay here,Bleib hier,Stay here,Quédate aquí,Reste ici,Rimani qui,Zostań tutaj,Оставайся здесь,Залишайся тут
Stop,Hör auf,Stop,Para,Arrêt,Smettila,Przestań,Перестань,Перестань
Don't do that,Tu das nicht,Don't do that,No hagas eso,Fais pas ça,Non farlo,Nie rób tego,Не делай этого,Не роби цього
Once more,Noch einmal,Once more,Una vez más,Encore une fois,Ancora una volta,Jeszcze raz,Ещё раз,Ще раз
Do just that,Tun Sie genau das,Do just that,Haz solo eso,Ne fais que ça,Fai solo questo,Rób tylko to,Делай только это,Роби лише це
Do whatever,Tun Sie was auch immer,Do whatever,Fais ce que tu veux,Fare qualsiasi cosa,Rób co chcesz,Делай что угодно,Роби що завгодно
Options,Optionen,Options,Opciones,Options,Opzioni,Opcje,Опции,Опції
Quit,Beenden,Quit,Salir,Quitter,Esci,Zamknij,Выйти,Вийти
Skins,Skins,Skins,Pieles,Skins,Skin,Skórki,Скины,Скіни
Settings,Einstellungen,Settings,Ajustes,Paramètres,Impostazioni,Ustawienia,Настройки,Налаштування
Enable walking,Gehen aktivieren,Enable walking,Activar caminar,Activer la marche,Attivare la camminata,Włącz chodzenie,Включить ходьбу,Увімкнути ходьбу
Enable running,Laufen aktivieren,Enable running,Activar correr,Activer la course,Attivare la corsa,Włącz bieganie,Включить бег,Увімкнути біг
About USM,Über USM,About USM,Sobre USM,À propos d'USM,A proposito di USM,O USM,Об USM,Про USM
Install a skin,Installiere einen Skin,Install a skin,Instalar una piel,Installer un skin,Installa una skin,Zainstaluj skórkę,Установить скин,Встановити скін
Delete selected,Ausgewählte löschen,Delete selected,Eliminar seleccionado,Supprimer sélectionnée,Elimina selezionato,Usuń wybrane,Удалить выбраный,Видалити обраний
Apply,Übernehmen,Apply,Aplicar,Appliquer,Applica,Zastosuj,Применить,Застосувати
